             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          16511734      cron cfs_user lgerhard CG       1:39      1 login07
          16432376      cron shepherd hargrove PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:login17)
          16432375      cron shepherd hargrove PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:login21)
          15566993      cron /global/  usatlas PD       0:00      1 (BeginTime)
           3777674      cron /global/   vaidhy PD       0:00      1 (BeginTime)
          15003402      cron scrontab liuyangz PD       0:00      1 (BeginTime)
          16432378      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          14590679      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          14590683      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
           3368246      cron /global/  qc_user PD       0:00      1 (BeginTime)
          16527839      cron scron_ar     desi PD       0:00      1 (BeginTime)
          14590678      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          16313458      cron user-fol     jaws PD       0:00      1 (BeginTime)
          16527849      cron scron_su     desi PD       0:00      1 (BeginTime)
           9484353      cron /global/  marcelh PD       0:00      1 (BeginTime)
          16432382      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          13766712      cron /bin/bas  qchen23 PD       0:00      1 (BeginTime)
          11581518      cron /global/ heatherk PD       0:00      1 (BeginTime)
          16432381      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          15946172      cron /global/    zz217 PD       0:00      1 (BeginTime)
          15946174      cron /global/    zz217 PD       0:00      1 (BeginTime)
           9758342      cron  cleanup datadash PD       0:00      1 (BeginTime)
          16432380      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          11261089      cron /global/  clepart PD       0:00      1 (BeginTime)
           9758341      cron static_b datadash PD       0:00      1 (BeginTime)
          11261090      cron /global/  clepart PD       0:00      1 (BeginTime)
          11488557      cron /global/   ssimms PD       0:00      1 (BeginTime)
          15946173      cron /global/    zz217 PD       0:00      1 (BeginTime)
           3588931      cron /global/   nquota PD       0:00      1 (BeginTime)
          16509829      cron begin.sh dmargala PD       0:00      1 (BeginTime)
           1566181      cron mtt_mast      hpp PD       0:00      1 (BeginTime)
          16527845      cron scron_tn     desi PD       0:00      1 (BeginTime)
          13546913      cron /pscratc   annaho PD       0:00      1 (BeginTime)
          14629526      cron jgi_emai   msdata PD       0:00      1 (BeginTime)
          14629527      cron egsb_ema   msdata PD       0:00      1 (BeginTime)
          16511733      cron cfs_dail lgerhard PD       0:00      1 (BeginTime)
          16511735      cron job_fail lgerhard PD       0:00      1 (BeginTime)
          16511736      cron cfs_dail lgerhard PD       0:00      1 (Dependency)
          16527844      cron scron_re     desi PD       0:00      1 (BeginTime)
          15624143      cron query_db  kadidia PD       0:00      1 (BeginTime)
          15624144      cron cron_job  kadidia PD       0:00      1 (BeginTime)
          15624145      cron /usr/bin  kadidia PD       0:00      1 (BeginTime)
          16511739      cron globus_u lgerhard PD       0:00      1 (BeginTime)
          13546912      cron /pscratc   annaho PD       0:00      1 (BeginTime)
